,Activity_Regex,Age_Regex,Sex_Regex,Species_Regex,Fatal_Regex
1305,surfing,52,m,Tiger shark,n
1307,removing fish from a trap,28,m,2.27 m shark,n
1308,fishing,32,m,reef shark,n
1310,surfing,14,m,1.5 to 2 m shark,n
1311,surfing,21,m,4' to 5' shark,n
1312,surfing,42,m,5' shark,n
1313,surfing,37,m,White shark,n
1315,floating,32,m,Tiger shark,n
1316,surf-skiing,52,f,White shark,n
1317,spearfishing,31,m,Bronze whaler shark,n
1318,surfing,22,m,3' to 4' shark,n
1319,surfing,16,m,Blacktip shark,n
1322,swimming,23,f,Tiger shark,y
1323,spearfishing,48,f,caribbean reef shark,n
1325,swimming,18,f,oceanic whitetip sharks were in the vicinity,n
1328,surfing,23,m,3' shark,n
1331,surfing,,f,9.5' shark?,n
1332,snorkeling,14,m,Nurse shark,n
1336,jumping,12,f,"18"" to 24"" shark",n
1337,swimming,58,m,possibly a spinner shark,n
1338,body boarding,15,m,Tiger shark,n
1339,surfing,24,m,White shark,n
1340,surfing,54,m,3' shark,n
1341,surfing,27,m,3' shark,n
1345,surfing,16,m,4' to 5' shark,n
1347,floating near boat & observing bioluminesce,20,m,Bull shark,n
1348,swimming,15,f, ,n
1352,jumped into the water,19,f,Bull shark,n
1357,snorkeling,36,m, ,n
1358,wading,15,m,Bronze whaler shark,n
1359,swimming,14,m,2' to 3' shark,n
1360,scuba diving,48,m,"3' small spotted catshark, scyliorhinus canicula",n
1362,wading,30,f,5' shark,n
1363,spearfishing,48,f,Bull shark,n
1365,body boarding,17,m,2 m shark,n
1369,surfing,20,m,4' shark,n
1375,reviving a sedated shark,40,f,Blacktip shark,n
1376,fishing,38,m,"lesser spotted dogfish, scyliorhinus canicula, less than 80 cm in length",n
1377,wading,38,f,2.5 m shark,n
1378,surfing,19,m,10' shark,n
1379,surfing,21,f,4' to 5' shark,n
1382,snorkeling,63,f,Tiger shark,n
1383,swimming,68,m,6' to 8' shark,n
1385,shark tagging,20,f,"lemon shark, >1 m ",n
1386,swimming,13,f,"""a small shark""",n
1387,body boarding,12,m,Blacktip shark,n
1388,surfing,24,m,3' to 4' shark,n
1390,surfing,26,m,Tiger shark,n
1392,surfing,27,m,3' shark,n
1395,surfing,11,m,4' to 5' shark,n
1396,surfing,42,f,1.5 m shark,n
1398,swimming,59,f,2 to 2.5 m shark,n
1400,spearfishing,16,m,Tiger shark,n
1404,spearfishing,30,m,Tiger shark,n
1406,diving,41,m,White shark,n
1408,swimming,24,m,Tiger shark,y
1411,surfing,24,m,Tiger shark,n
1412,surfing,25,m,2.5 to 3 m shark,n
1413,surfing,10,m,2 to 3 m shark,n
1414,surfing,43,m,White shark,n
1415,fishing,25,m,Raggedtooth shark,n
1416,body boarding,15,m,White shark,n
1418,swimming,29,m,2 m to 3 m shark,n
1420,surfing,22,m,White shark,n
1424,playing soccer in the water,18,m,3' to 3.5' shark,n
1431,swimming,55,m,spinner shark,n
1432,surfing,52,m,5' shark,n
1435,standing,33,m,3' shark,n
1437,surfing,37,m,White shark,n
1446,lifesaving drill,24,m,White shark,n
1450,surfing,41,m,White shark,n
1453,surf-skiing,19,m,White shark,n
1454,surfing,14,m, ,n
1457,standing,49,m,"angel shark, 1.2m ",n
1463,body boarding,14,f,Bull shark,n
1465,spearfishing,28,f,Blacktip shark,n
1466,spearfishing,35,m,Blacktip shark,n
1470,surfing,22,f,Blacktip shark,n
1473,surfing,24,m,2' to 3' shark,n
1474,playing,7,f,3' to 4' shark,n
1475,surfing,40,m,White shark,n
1476,spearfishing,26,m,Tiger shark,n
1479,spearfishing,15,m,"grey reef shark, 5' to 8' ",n
1481,scuba diving,30,f,Tiger shark,n
1484,snorkeling,46,m,Wobbegong shark,n
1488,fishing,35,m,Bull shark,n
1489,surfing,15,m,Bronze whaler shark,n
1490,body boarding,15,m,Raggedtooth shark,n
1491,swimming,35,m,Tiger shark,n
1494,surfing,28,f,Tiger shark,n
1496,surfing,21,m,Tiger shark,n
1497,surfing,15,m,Bronze whaler shark,n
1498,standing,15,f,5' to 7' shark,n
1503,surfing,15,m,Raggedtooth shark,n
1504,swimming,24,f,Tiger shark,y
1505,kayaking,57,m,12' to 18' shark,n
1506,competing in the woodvale atlantic rowing race,46,m,12' shark,n
1510,scuba diving,52,m,White shark,n
1512,swimming,21,f,Bull shark,y
1513,surfing,21,m,4' shark,n
1514,diving for crayfish,49,m,said to involve a 1.5 m shark,n
1515,surfing,30,m,White shark,n
1516,swimming,29,m,Tiger shark,n
1518,spearfishing,44,m,whitetip reef shark,n
1521,surfing,23,m,4' shark,n
1523,surfing,18,m,1.8 m shark,n
1526,surfing,30,m,4' shark,n
1529,fishing,32,m,Raggedtooth shark,n
1530,surfing,18,m,6' shark,n
1532,surfing,26,m,White shark,n
1533,wading,15,m,2' to 3' shark,n
1534,standing,55,m,2' shark,n
1535,surfing,20,m,3 m shark,n
1536,surfing,36,m,White shark,n
1537,surfing,20,f,White shark,n
1539,surfing,22,m,Tiger shark,n
1540,scuba diving,57,f,caribbean reef sharks,n
1543,surf-skiing,52,m,White shark,n
1544,surfing,28,m,Tiger shark,n
1545,surfing,26,m,White shark,n
1546,surfing,44,m,Bronze whaler shark,n
1548,surfing,68,f,3' to 4' shark,n
1551,wading,18,f,Bull shark,n
1552,surfing,40,m,White shark,n
1554,removing shark from net,21,m,"2 m [6.75'] shark, 200-kg shark t",y
1555,scuba diving,23,m,White shark,y
1556,surfing,37,m,White shark,n
1558,swimming,8,m,Blacktip shark,n
1561,surfing,16,m,1.8 m [6'] shark,n
1568,scuba diving,24,m,3.5 m [11.5']shark,n
1570,swimming,22,m,[4.5' to 5'] shark,n
1571,holding onto an inflatable boat,14,f,[4' to 5'],n
1573,fishing,16,m,Bull shark,n
1574,swimming,14,f,Bull shark,y
1575,swimming,7,f,"on 8/13/2005 anglers from new zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. it was believed this was the same shark that killed alysha",y
1578,swimming,20,m,"unknown, but it was reported that a shark tooth was recovered from the wound",n
1579,diving,38,f,White shark,n
1582,spearfishing,22,m,White shark,y
1584,swimming,33,m,"""small shark""",n
1586,surfing,32,m,Raggedtooth shark,n
1591,surfing,47,m,Tiger shark,n
1592,fishing,25,m,Mako shark,n
1594,spearfishing,20,m,2 m [6.75'] copper shark,n
1595,surfing,40,m,Bronze whaler shark,n
1596,wading,70,f,Blacktip shark,n
1601,surfing,32,m,4 m [13'] shark,n
1604,snorkeling,26,m,White shark,y
1605,diving in aquarium display tank,45,m,"sandtiger shark, 2.1 m [7'] ",n
1609,swimming,18,m,Bull shark,n
1614,swimming,19,m,3 m [10'] shark,n
1617,fishing,39,m,White shark,n
1619,scurfing (surfboard being  towed behind a boat),18,m,White shark,y
1620,spearfishing,38,m,Bull shark,y
1621,surfing,20,m,Raggedtooth shark,n
1622,playing,16,m,Raggedtooth shark,n
1623,swimming,77,f,White shark,y
1624,surfing,38,NaN,White shark,n
1627,diving,40,m,Bull shark,n
1629,chumming for white sharks,52,m,White shark,n
1630,surfing,59,m,Bronze whaler shark,n
1632,spearfishing,34,m,Tiger shark,n
1633,surfing,34,m,Raggedtooth shark,n
1634,body boarding,15,m,Tiger shark,n
1638,surfing,26,m,White shark,n
1641,jumping,17,f,2.4 m [8'] shark,n
1643,bathing,24,m,Tiger shark,n
1645,diving,50,m,White shark,y
1646,swimming,47,m,1.2 m [4'] shark,n
1652,swimming,13,f,1.8 m [6'] shark,n
1653,swimming,19,f,1.2 m to 1.5 m [4' to 5'] shark,n
1654,fishing,11,m,Bull shark,n
1656,fishing,51,m,Mako shark,n
1657,surfing,30,m,"2 sharks, 4.5 m & 3 m ",y
1658,snorkeling,,f,"""black tipped"" shark",n
1659,wading,7,m,4' to 5' shark,n
1660,surfing,45,m,White shark,n
1663,body boarding,17,m,Bronze whaler shark,n
1664,swimming,8,m,1.2 m [4'] shark,n
1665,swimming,21,m,White shark,y
1666,wading,16,m,0.9 m to 1.5 m [3' to 5'] shark,n
1667,swimming,17,m,Bull shark,n
1668,surfing,44,m,2.4 m to 3.7 m [8' to 12'] shark,n
1673,spearfishing,63,m,"1,5 m [5'] caribbean reef shark (carcharhinus  perezi)",n
1674,surfing,28,m,Mako shark,n
1680,surfing,57,m,Tiger shark,y
1681,surfing,16,m,White shark,n
1684,surfing,20,m,Bull shark,n
1685,body boarding,22,m,Bull shark,n
1687,surfing,20,m,2.5 m shark,n
1691,surfing,51,m,Tiger shark,n
1692,spearfishing,47,m,Bronze whaler shark,n
1694,surfing,15,m,2 m [6.75'] sevengill  shark,n
1698,snorkeling,22,m,"60 cm [23.6""] blind or brown shark",n
1699,scuba diving,46,m,White shark,n
1700,surfing,21,m,possibily a  1.5 to 2 m sandtiger shark,n
1703,spearfishing,40,m,Bull shark,n
1706,surfing,22,m,Raggedtooth shark,n
1717,spearfishing,21,m,Tiger shark,y
1718,surfing,35,f,4' shark,n
1719,swimming,35,m,Tiger shark,n
1725,surfing,18,m,1.2 m to 1.5 m [4' to 5'] shark,n
1726,surfing,22,m,Bronze whaler shark,n
1727,surfing,13,f,Tiger shark,n
1730,surfing,19,m,1.2 m [4'] shark,n
1736,fishing,41,f,"1.2 m [4'] ""grey-colored shark""",n
1742,surfing,30,m,3' shark,n
1745,body boarding,18,m,6' shark,n
1746,standing,15,m,7' shark,n
1747,body boarding,19,m,White shark,y
1750,swimming,50,f,White shark,y
1752,sitting on surfboard,16,m,White shark,n
1756,spearfishing,58,m,unidentified species,n
1757,walking,10,m,2' shark,n
1758,surfing,21,m,1.5 m to 1.8 m [5' to 6'] shark,n
1759,spearfishing,39,m,Bull shark,n
1763,surfing,17,m,unidentified species,n
1764,surfing,15,m,106 cm [3.5']  shark,n
1766,standing,12,f,small brown shark,n
1767,swimming,60,m,3.7 m to 4.3 m [12' to 14'] shark,n
1768,swimming,51,m,unidentified species,n
1769,surfing,33,m,"""sand shark""",n
1773,wading,22,m,3' to 5' shark,n
1774,swimming,20,m,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,n
1775,surfing,34,m,4' to 5' shark,n
1780,surfing,17,m,Bull shark,n
1782,surfing,36,m,unidentified species,n
1783,surfing,17,m,unidentified species,n
1784,surfing,30,m,unidentified species,n
1785,surfing,23,m,0.9 m to 1.2 m [3' to 4'] shark,n
1786,surfing,18,m,unidentified species,n
1787,jumping,11,m,a small shark,n
1788,surfing,12,m,unidentified species,n
1789,swimming,20,m,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",n
1790,surfing,28,m,Mako shark,n
1792,surfing,50,m,4' to 5' shark,n
1794,scuba diving,44,m,White shark,n
1795,wading,37,m,"""a small shark""",n
1796,swimming,54,m,species unidentified,n
1797,swimming,24,m,Nurse shark,n
1798,swimming,84,m,Bull shark,y
1802,snorkeling,18,f,Hammerhead shark,n
1803,snorkeling,25,m,White shark,n
1804,scuba diving,26,m,Wobbegong shark,n
1806,swimming,23,m,Bull shark,y
1809,body boarding,48,m,White shark,n
1810,swimming,34,f,2.4 m to 3 m [8' to 10'] grey colored shark,n
1811,snorkeling,41,f,1.8 m to 2.1 m [6' to 7']  caribbean reef shark ,n
1812,surfing,21,m,6' shark,n
1813,boogie boarding,16,m,3' to 4' shark,n
1815,swimming,60,f,a small shark,n
1816,swimming,36,m,Tiger shark,y
1818,surfing,14,m,Blacktip shark,n
1819,surfing,35,m,3.5' to 4.5' shark,n
1820,surfing,18,m,3.5' to 4' shark,n
1821,surfing,47,m,4' to 5' shark,n
1823,fishing,55,m,Blacktip shark,n
1824,fishing,,m,Blacktip shark,n
1825,swimming,,m,Tiger shark,n
1826,surfing,24,m,2.4 m [8'] shark,n
1827,surfing,35,m,3 m to 3.7 m [10' to 12'] shark,n
1828,swimming,19,m,Tiger shark,n
1830,surf skiing,47,m,White shark,n
1831,boogie boarding,20,m,4' to 6' shark,n
1832,wading,36,m,Hammerhead shark,n
1833,surfing,16,m,Tiger shark,n
1835,surfing,27,m,0.9 m  to 1.2 m [3' to 4'] shark,n
1836,surfing,15,m,Nurse shark,n
1838,diving,30,m,"sandtiger shark, 3 m [10'] ",n
1839,standing,14,m,1.2 m to 1.5 m [4' to 5'] shark,n
1840,surfing,13,m,Blacktip shark,n
1841,swimming,15,f,Bull shark,n
1843,fishing,41,m,Mako shark,y
1844,surfing,22,m,Tiger shark,n
1845,standing,9,f,Bull shark,n
1852,surfing,28,m,0.9 m to 1.2 m [3' to 4'] shark; tooth fragment recovered from hand,n
1853,surfing,50,m,  ,n
1855,snorkeling,50,m,1.5 to 2.5 m [5' to 8.25'] copper shark,n
1856,surfing,24,m,White shark,n
1857,floating on a raft,16,m,1 m  shark,n
1858,fishing,55,m,Blacktip shark,n
1862,fishing,31,m,2.1 m to 2.4 m [7' to 8'] shark,n
1865,scallop diving (using surface-supplied air & a pod) ,23,m,White shark,y
1867,surfing,34,m,1.2 m [4'] shark,n
1870,standing,43,m,Bull shark,n
1871,wading,41,m,3'  shark,n
1872,swimming,29,m,0.9 m [3'] shark,n
1873,body-boarding,17,m,Tiger shark,n
1874,wading,11,f,  ,n
1876,swimming,20,m,4' shark,n
1877,snorkeling,39,m,Nurse shark,n
1878,surfing,31,m,"spinner shark, 3' to 4' ",n
1881,surfing,30,m,"1.5 m [5'] ""whaler shark""",n
1883,kayaking,35,m,c. leucas tooth fragment recovered from kayak,n
1884,surfing,20,m,Tiger shark,n
1886,fishing,16,m,zambesi shark?,n
1888,surf skiing,26,m,unidentified,n
1889,snorkeling,35,m,Tiger shark,n
1891,surfing,49,m,Bronze whaler shark,n
1895,snorkeling,20,f,Bronze whaler shark,n
1896,surfing,26,m,Tiger shark,n
1898,surfing,21,m,4' shark,n
1900,wreck / technical diving,42,m,questionable incident - shark bite may have precipitated drowning,y
1901,boogie boarding,6,m,2' to 3.5' shark,n
1907,swimming,28,m,White shark,y
1908,swimming,23,f,White shark,n
1909,wading,20,m,1.5 m [5'] shark,n
1910,swimming,10,m,Bull shark,y
1911,spearfishing,44,m,Bull shark,n
1916,surfing,17,m,a small shark,n
1921,surfing,20,m,Blacktip shark,n
1922,surfing,19,m,Blacktip shark,n
1923,surfing,19,m,Blacktip shark,n
1924,spearfishing,43,m,Bull shark,n
1925,fell off banana boat,21,m,3 m [10'] shark,n
1934,boogie boarding,18,m,0.9 m  [3'] shark,n
1936,swimming,8,m,Bull shark,n
1939,swimming,14,m,1.5 m [5'] shark,n
1940,spearfishing,52,m,White shark,n
1942,wading,29,f,2' shark,n
1944,swimming,11,m,1.2 m to 1.5 m [4.5' to 5'] shark,n
1948,surfing,26,m,White shark,n
1950,surfing,45,m,1.2 m to 1.5 m [4' to 5'] shark,n
1954,surfing,12,m,Blacktip shark,n
1957,surfing,21,m,Blacktip shark,n
1958,body boarding,12,m,Blacktip shark,n
1959,surfing,22,m,Blacktip shark,n
1960,surfing,19,m,Blacktip shark,n
1964,surfing,46,m,White shark,n
1966,standing,26,m,"""small shark""",n
1968,surfing,40,m,Bronze whaler shark,n
1976,surfing,40,m,Bronze whaler shark,n
1977,kayaking,35,m,5 m shark,n
1978,swimming,55,f,2 m [6.75'] shark,n
1983,swimming,47,m,6 m [20'] shark,y
1985,diving for sea urchins,30,m,"porbeagle shark, 3 m [10']rk",n
1986,spearfishing,38,m,Bronze whaler shark,n
1988,diving (shell maintenance),28,m,Tiger shark,n
1990,swimming,73,m,1.2 m to 1.8 m [4' to 6'] shark,n
1992,swimming,52,m,White shark,n
1993,swimming,49,m,White shark,y
1994,surfing,27,m,White shark,n
1997,swimming,56,f,Tiger shark,n
1999,surfing,17,m,2.1 to 2.4 m [7' to 8'] shark,n
2000,surfing,23,m,Blacktip shark,n
2004,surfing,17,m,White shark,y
2005,surfing,25,m,White shark,y
2006,fell onto dead shark,12,m,Blue shark,n
2007,surfing,31,m,White shark,y
2011,swimming,25,m,60 cm to 90 cm [2' to 3'] shark,n
2013,free diving,48,m,White shark,n
2014,swimming,28,m,thought to involve a zambesi shark,y
2015,wading,40,m,1.5 m [5'] shark,n
2016,surfing,27,m,Tiger shark,n
2018,swimming,47,m,a 2' shark was seen in the area by witnesses,n
2019,jumped into the water,69,m,Bull shark,y
2022,"windsurfing, but sitting on his board",53,m,Tiger shark,n
2023,surfing,27,m,juvenile shark,n
2024,standing,44,f,Blacktip shark,n
2029,snorkeling,45,f,Nurse shark,n
2031,surfing,14,m,1.8 m [6'] grey-colored shark,n
2035,scuba diving,69,m,"grey reef shark, 2 m [6.75'] ",n
2038,jumping,5,m,"lemon shark, 2.1  m to 2.4 m [7' to 8'] ",n
2039,playing,12,f,Tiger shark,n
2041,spearfishing,55,f,Nurse shark,n
2042,wading,13,f,0.9 m [3'] shark,n
2043,standing,19,f,Blacktip shark,n
2049,surfing,17,m,Blacktip shark,n
2050,swimming,55,m,Bull shark,n
2051,swimming,44,m,Bull shark,n
2061,swimming,26,m,2.5 m shark,n
2062,boogie boarding,14,f,1.8 m [6'] shark,n
2063,surfing,37,m,1.2 m [4'] shark,n
2064,spearfishing,35,m,Tiger shark,y
2070,spearfishing,39,m,Mako shark,n
2075,surfing,26,m,3 m [10'] shark,n
2079,surfing,15,m,sevengill shark,n
2080,swimming,13,f,sevengill shark,n
2081,bathing,12,f,sevengill shark,n
2082,surfing,18,m,Tiger shark,n
2084,spearfishing,39,m,Not a shark,n
2087,swimming,51,f,Tiger shark,n
2089,surfing,35,m,White shark,n
2090,swimming,39,m,1.3 to 1.6 m shark,n
2091,swimming,12,m,"grey reef shark, 1.2 m [4'] ",n
2092,swimming,12,m,"grey reef shark, 1.2 m [4'] ",n
2096,surfing,16,m,Tiger shark,n
2099,kayaking,37,m,White shark,n
2100,wading,61,f,unidentified,n
2102,surfing,13,m,1.5 m to 1.8 m [5' to 6'] shark,n
2103,wading,7,m,0.9 m [3'] shark,n
2105,surfing,28,m,"""a small shark""",n
2107,fishing,23,m,7' shark,n
2109,lying prone in 2' of water,10,m,1.8 m [6'] shark,n
2110,surfing,62,m,4' to 5' shark,n
2111,spearfishing,35,m,Bull shark,n
2112,surfing,42,m,White shark,n
2113,swimming,43,m,Bull shark,n
2114,surfing,43,m,Tiger shark,n
2115,boogie boarding,14,m,White shark,y
2117,wading,30,f,Blacktip shark,n
2118,surfing,29,m,White shark,n
2119,adrift in a life jacket,20,m,1.2 m [4'] shark,n
2120,surfing,21,m,3' to 4' shark,n
2122,wading,5,m,Blacktip shark,n
2123,windsurfing,22,m,White shark,y
2124,surfing,21,m,Tiger shark,n
2125,swimming,41,f,"grey reef shark, 1.5 m ",n
2126,swimming,52,m,Bull shark,y
2132,fishing,28,m,Mako shark,n
2134,swimming,29,f,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,n
2136,surfing,35,m,Tiger shark,n
2137,surfing,25,m,spinner shark,n
2138,spearfishing,47,m,Bull shark,n
2143,spearfishing,30,m,White shark,n
2147,surfing,18,m,White shark,n
2150,swimming,9,m,Tiger shark,y
2151,surfing,14,m,1.2 m [4'] shark,n
2152,walking,13,m,"a ""small shark""",n
2153,surfing,32,m,White shark,n
2154,fishing,52,m,6' shark,n
2155,surfing,22,m,White shark,y
2165,surfing,28,m,1.8 m [6'] shark,n
2166,spearfishing,25,m,1.5 m shark,n
2167,surfing,26,m,3' to 4' shark,n
2169,boogie boarding,16,m,White shark,n
2171,spearfishing,28,m,"caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] ",n
2172,body-boarding,11,m,4.5' to 5' shark,n
2174,surfing,19,m,White shark,n
2175,spearfishing,24,m,White shark,n
2178,wading,47,m,Raggedtooth shark,n
2179,surfing,16,m,5' to 6' shark,n
2180,surfing,10,m,Raggedtooth shark,n
2181,free diving,26,m,White shark,y
2182,body boarding,20,m,White shark,y
2186,body boarding,15,m,White shark,n
2187,body boarding,16,m,unidentified,n
2188,surfing,40,m,"lemon shark, 1.5 m [5'], identified  by the surfer",n
2189,swimming,14,f,"1.8 m [6'] shark, possibly a blacktip",n
2191,body boarding,22,m,White shark,n
2192,towing rubber dinghy,35,f,3 m [10'] shark,y
2193,surfing,50,m,White shark,n
2194,scuba diving,16,m,Nurse shark,n
2198,snorkeling,33,m,White shark,n
2199,swimming,32,m,5' spinner shark,n
2206,surfing,23,m,small dusky shark or blackfin shark,n
2210,spearfishing,39,m,White shark,y
2214,scuba diving,42,m,White shark,n
2217,surf-skiing,51,m,White shark,n
2218,surfing,19,m,Tiger shark,n
2219,surfing,23,m,Blacktip shark,n
2220,surfing,12,m,1.2 m to 1.5 m [4' to 5'] shark,n
2229,surfing,29,m,White shark,n
2231,scuba diving,33,m,Tiger shark,y
2234,fishing,16,m,White shark,y
2237,wading,10,f,1 m shark,n
2239,surfing,17,m,juvenile shark,n
2240,surfing,19,m,"""juvenile shark""",n
2242,surfing,25,m,White shark,y
2244,standing,50,m,Blacktip shark,n
2245,fishing,55,m,White shark,y
2248,snorkeling,47,f,Tiger shark,n
2249,surfing,18,m,possibly a spinner shark,n
2251,surfing,33,m,1.2 m [4'] shark (spinner shark?),n
2252,spearfishing,35,m,4' shark,n
2253,surfing,34,m,possibly a sand shark,n
2254,surfing,12,m,possibly a sand shark,n
2255,spearfishing,54,m,possibly a caribbean reef shark,n
2257,windsurfing,22,m,White shark,n
2258,swimming,21,f,a small shark,n
2259,scuba diving,30,m,Tiger shark,n
2263,snorkeling,27,m,1.8 m to 2.1 m [6' to 7'] shark,n
2264,windsurfing,41,m,Tiger shark,y
2271,surfing,45,m,White shark,n
2276,surfing,22,m,White shark,n
2277,surfing,21,m,1.2 m [4'] shark,n
2278,surfing,31,m,White shark,n
2281,diving for abalone,23,m,White shark,n
2282,swimming,19,m,"""a young shark""",n
2286,spearfishing,29,m,White shark,n
2287,body boarding,19,m,Tiger shark,n
2288,free diving,36,m,White shark,n
2289,fishing,21,m,Hammerhead shark,n
2291,swimming,52,m,White shark,y
2293,swimming,46,m,6' shark,n
2297,standing,63,f,5' to 6' shark,n
